"자치구별(1)",자치구별(2),2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"자치구별(1)",자치구별(2),소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력,소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력,소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력,소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력,소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력,소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력,소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력,소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력
"자치구별(1)",자치구별(2),발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거
"합계",중랑구,5193,3405,13,12,11,9,187,148,2135,829,2847,2407,5041,3935,8,7,14,14,164,150,1691,1052,3164,2712,4571,3392,5,5,3,4,172,144,1533,813,2858,2426,4288,3222,4,5,3,3,174,145,1526,876,2581,2193,4268,3138,10,10,4,5,138,108,1666,908,2450,2107,3726,2781,10,9,5,6,183,153,1506,889,2022,1724,3210,2405,4,4,6,7,141,117,1399,835,1660,1442,3599,2671,2,2,2,2,150,121,1508,882,1937,1664
"합계",성북구,4154,2729,5,5,5,4,150,124,1785,741,2209,1855,3744,2672,4,3,8,8,154,117,1470,725,2108,1819,3434,2479,7,7,8,8,173,134,1344,703,1902,1627,3042,2277,7,6,1,2,183,140,1164,635,1687,1494,2877,2323,3,3,3,3,176,130,1082,731,1613,1456,2567,1947,4,4,3,2,142,121,988,580,1430,1240,2411,1787,4,3,2,2,118,88,895,474,1392,1220,2749,2125,3,3,1,1,158,129,1143,715,1444,1277
"합계",강북구,4257,3113,7,8,14,13,153,126,1434,618,2649,2348,4229,3323,7,6,5,4,217,159,1222,672,2778,2482,3393,2824,8,8,7,5,208,153,1014,635,2156,2023,3437,2743,8,6,7,7,188,135,1112,603,2122,1992,3838,3023,6,6,3,2,176,145,1229,664,2424,2206,2770,2259,9,8,5,4,159,132,780,490,1817,1625,2301,1912,4,4,1,1,136,115,777,537,1383,1255,2832,2343,5,4,5,6,177,147,872,589,1773,1597
"합계",도봉구,2664,1900,3,3,9,10,102,106,1063,478,1487,1303,2438,1930,3,3,5,5,123,121,866,492,1441,1309,1999,1652,1,1,3,3,104,115,633,417,1258,1116,2249,1676,1,1,5,3,113,117,781,431,1349,1124,2110,1497,1,1,5,5,90,83,790,394,1224,1014,2179,1490,-,-,2,2,82,87,861,379,1234,1022,1860,1294,2,2,2,1,72,64,772,376,1012,851,2141,1569,3,3,-,-,70,54,969,546,1099,966
"합계",노원구,5130,3268,10,10,7,7,197,121,2193,801,2723,2329,4543,3021,5,6,6,9,159,142,1857,740,2516,2124,4209,3047,4,4,9,7,180,155,1538,757,2478,2124,4007,2725,5,4,5,5,194,173,1422,585,2381,1958,4153,2964,4,4,3,3,184,158,1498,681,2464,2118,3743,2581,4,3,3,3,169,148,1404,646,2163,1781,3425,2302,6,6,3,3,156,126,1361,654,1899,1513,3896,2641,3,3,3,1,180,151,1504,729,2206,1757
"합계",은평구,4745,3167,3,3,9,6,166,141,1914,711,2653,2306,4501,3353,6,6,9,7,156,142,1666,890,2664,2308,3883,3207,6,6,4,4,230,213,1387,934,2256,2050,3590,2863,8,8,1,1,188,169,1278,816,2115,1869,3880,3000,3,3,1,1,194,162,1565,977,2117,1857,3390,2531,4,4,4,3,171,145,1371,756,1840,1623,3244,2423,4,5,3,3,166,133,1424,825,1647,1457,3487,2658,4,4,5,4,176,146,1497,946,1805,1558
"합계",서대문구,4029,2579,2,2,5,4,154,124,1812,738,2056,1711,3665,2554,6,7,5,4,175,147,1503,752,1976,1644,3113,2299,4,4,1,2,202,181,1230,719,1676,1393,2802,2016,5,4,3,3,206,189,1062,585,1526,1235,2943,2020,2,1,5,5,175,154,1226,600,1535,1260,2533,1706,3,3,2,1,159,149,1077,524,1292,1029,2278,1594,3,3,2,2,137,120,1027,562,1109,907,2374,1605,5,4,6,6,157,144,1114,565,1092,886
"합계",마포구,5854,3597,8,8,14,10,294,247,2555,813,2983,2519,5873,3771,4,4,4,7,399,320,2527,940,2939,2500,5278,3499,3,3,8,8,500,429,2094,837,2673,2222,5172,3569,6,6,6,7,473,396,2011,882,2676,2278,4842,3170,2,2,2,2,495,417,2190,917,2153,1832,3688,2534,9,8,4,3,348,287,1483,679,1844,1557,3540,2379,4,3,4,4,321,275,1510,730,1701,1367,4096,2814,2,2,2,1,436,368,1451,653,2205,1790
"합계",양천구,4528,2815,3,5,6,3,120,105,1890,672,2509,2030,4112,2793,5,5,7,7,131,108,1719,755,2250,1918,3882,2660,3,2,3,2,138,122,1590,756,2148,1778,3515,2459,2,3,4,14,120,111,1384,646,2005,1685,3214,2124,6,6,2,2,127,112,1477,634,1602,1370,3216,2086,5,5,3,3,109,90,1517,718,1582,1270,3015,2085,1,1,3,3,116,92,1349,700,1546,1289,3169,2130,2,2,3,3,114,92,1474,781,1576,1252
"합계",강서구,5585,4190,7,8,13,13,262,191,2096,1260,3207,2718,5450,4097,9,10,10,10,275,239,1952,1070,3204,2768,5135,3927,11,11,4,6,316,253,1888,1113,2916,2544,4629,3469,11,9,6,3,269,246,1724,982,2619,2229,4924,3543,8,9,3,4,306,257,2050,1077,2557,2196,4415,3393,10,9,6,5,265,222,1689,1070,2445,2087,3896,3044,9,7,3,3,246,188,1540,921,2098,1925,4663,3591,3,3,7,7,261,195,1991,1185,2401,2201
"합계",구로구,5646,3502,8,6,15,11,281,164,2335,889,3007,2432,5366,3744,9,9,10,13,273,181,1910,861,3164,2680,4895,3408,7,8,8,6,328,181,1725,869,2827,2344,4810,3338,8,8,9,9,250,181,1717,787,2826,2353,4707,3291,10,9,3,4,226,165,1916,965,2552,2148,4175,2984,6,6,5,5,197,142,1763,1008,2204,1823,3486,2431,5,5,2,1,182,118,1390,770,1907,1537,3857,2732,11,11,8,9,217,145,1565,841,2056,1726
"합계",금천구,3781,2796,3,4,6,6,151,122,1567,888,2054,1776,3645,2756,6,6,7,7,175,143,1264,654,2193,1946,3265,2572,5,5,5,5,240,212,1141,674,1874,1676,3293,2567,6,6,7,6,200,185,1168,645,1912,1725,3105,2343,6,6,10,6,153,126,1157,615,1779,1590,2598,1966,4,4,7,6,117,93,999,553,1471,1310,2439,1741,7,6,3,4,134,103,1013,520,1282,1108,2577,1887,2,1,3,3,127,87,1118,662,1327,1134
"합계",영등포구,6867,4154,14,12,22,20,295,183,2964,978,3572,2961,6322,4199,13,13,19,14,356,225,2341,940,3593,3007,5969,4012,15,13,5,5,455,267,2304,1108,3190,2619,5840,3922,17,15,8,6,391,267,2292,1064,3132,2570,5820,3787,10,10,3,3,356,239,2409,1068,3042,2467,5217,3371,7,4,6,5,315,252,2188,953,2701,2157,4179,2777,8,8,11,11,279,196,1712,831,2169,1731,4819,3186,5,6,10,9,327,237,2062,953,2415,1981
"합계",동작구,4074,2397,5,5,9,5,285,139,1865,661,1910,1587,3227,2160,8,6,7,7,325,149,1226,554,1661,1444,3330,2242,1,1,7,9,396,173,1226,593,1700,1466,3100,2090,3,3,7,7,288,154,1151,532,1651,1394,3400,2195,4,2,1,1,251,110,1328,579,1816,1503,3200,2086,1,1,1,2,226,121,1341,592,1631,1370,2631,1829,2,3,1,1,180,94,1129,675,1319,1056,2735,1741,2,3,5,5,212,107,1195,588,1321,1038
"합계",관악구,6345,3712,9,8,12,14,320,221,2706,827,3298,2642,5678,3925,6,7,12,10,322,264,2103,937,3235,2707,5525,4154,8,7,7,6,379,323,1979,1152,3152,2666,5026,3653,9,9,10,12,352,305,2012,1025,2643,2302,5328,3810,13,10,10,11,408,335,2223,1085,2674,2369,5261,3858,12,12,3,3,403,351,2229,1137,2614,2355,4444,3134,8,4,7,6,321,269,1860,929,2248,1926,4879,3411,10,8,9,8,327,279,1966,1050,2567,2066
"합계",서초구,5444,3450,8,6,9,6,393,249,2635,1091,2399,2098,4989,3422,5,5,13,10,428,271,2205,1107,2338,2029,4708,3237,9,10,13,7,470,283,1812,835,2404,2102,4726,3183,5,5,5,5,470,315,1851,838,2395,2020,5542,3750,5,5,7,5,616,412,2270,1118,2644,2210,4601,3052,5,5,6,4,396,303,2021,960,2173,1780,3656,2439,9,9,5,5,312,228,1503,691,1827,1506,4459,3098,3,2,3,3,431,328,1921,1024,2101,1741
"합계",강남구,8617,5732,13,10,21,18,449,349,3850,1650,4284,3705,8149,5905,5,5,39,42,516,413,3587,1918,4002,3527,7720,5321,7,7,20,24,607,496,3130,1383,3956,3411,7513,5196,10,13,14,10,600,523,3004,1317,3885,3333,7304,5069,5,3,5,6,666,562,2970,1339,3658,3159,7356,5245,6,5,14,11,708,627,2951,1491,3677,3111,6146,4397,12,11,25,23,578,454,2372,1160,3159,2749,6947,5020,12,10,11,10,667,534,2495,1207,3762,3259
"합계",송파구,6778,4113,11,10,13,10,220,178,3239,1129,3295,2786,6090,4060,9,8,15,12,234,184,2543,1048,3289,2808,5576,3870,6,6,1,3,288,242,2274,1026,3007,2593,5807,4051,5,6,6,8,309,254,2352,1034,3135,2749,5698,3799,7,8,10,10,273,230,2416,1016,2992,2535,5410,3544,6,6,13,17,287,235,2429,1006,2675,2280,4714,3266,3,3,7,6,247,216,2024,995,2433,2046,5167,3409,2,2,5,6,290,220,2201,1033,2669,2148
"합계",강동구,5244,3171,4,3,6,8,156,123,2366,789,2712,2248,4462,3273,4,5,14,13,160,152,1754,902,2530,2201,4261,3245,5,6,10,12,172,169,1645,949,2429,2109,3919,2789,3,3,7,7,170,143,1515,765,2224,1871,4014,2955,6,5,15,14,180,155,1650,907,2163,1874,3788,2662,3,3,15,14,188,167,1640,781,1942,1697,3458,2462,3,3,6,6,124,103,1612,889,1713,1461,3711,2644,5,6,5,5,157,134,1672,900,1872,1599
