,Year,Globe,Land,Ocean,NoPol,NoPol_Land,NoPol_Ocean,SoPol,SoPol_Land,SoPol_Ocean
0,1978,0.10249999999999998,-0.0925,0.17750000000000002,-0.6675,-1.085,-0.19,1.025,1.1875,0.9450000000000001
1,1979,0.07195652173913043,0.03956521739130434,0.08347826086956522,0.09500000000000001,0.062173913043478246,0.13456521739130436,0.1752173913043478,0.16217391304347828,0.18065217391304345
2,1980,0.189375,0.19645833333333332,0.18520833333333334,-0.030000000000000027,0.058750000000000004,-0.13125,0.63875,1.0731249999999999,0.4327083333333333
3,1981,0.09083333333333334,0.13770833333333335,0.0725,0.208125,0.2275,0.18604166666666666,0.4197916666666666,0.7154166666666667,0.27958333333333335
4,1982,0.18729166666666666,0.15416666666666667,0.19874999999999998,0.0002083333333333474,0.016041666666666662,-0.016249999999999983,0.12604166666666666,0.05979166666666666,0.15583333333333335
5,1983,0.2970833333333333,0.24750000000000003,0.3172916666666667,-0.05645833333333333,0.05583333333333334,-0.18479166666666666,0.08479166666666667,-0.03916666666666666,0.14395833333333333
6,1984,-0.14541666666666667,-0.18729166666666666,-0.12916666666666668,0.018541666666666668,-0.0068750000000000104,0.048333333333333346,0.17500000000000002,0.1425,0.19083333333333333
7,1985,-0.20791666666666667,-0.21375,-0.20458333333333334,0.31083333333333335,0.25833333333333336,0.3702083333333333,-0.1864583333333333,-0.4522916666666667,-0.061041666666666654
8,1986,-0.14020833333333335,-0.18083333333333332,-0.12458333333333334,-0.308125,-0.15687500000000001,-0.4808333333333333,0.31083333333333335,0.176875,0.37437499999999996
9,1987,0.0825,0.08104166666666666,0.08270833333333334,0.6847916666666668,0.5499999999999999,0.8391666666666667,-0.7183333333333333,-0.7327083333333334,-0.7116666666666668
10,1988,0.06666666666666667,0.057916666666666665,0.07083333333333333,-0.4170833333333333,-0.35479166666666667,-0.4870833333333333,1.0120833333333332,1.4425,0.8085416666666667
11,1989,-0.09729166666666667,-0.13166666666666668,-0.08416666666666667,-0.2685416666666667,-0.28,-0.25666666666666665,0.007916666666666674,-0.06937499999999998,0.04458333333333333
12,1990,0.058125,-0.024791666666666667,0.09020833333333333,-0.91375,-0.821875,-1.0202083333333334,-0.12520833333333334,-0.15791666666666668,-0.11062500000000001
13,1991,0.24104166666666668,0.250625,0.23770833333333333,0.14833333333333334,0.18458333333333332,0.10499999999999998,0.629375,1.0297916666666667,0.4404166666666667
14,1992,0.18708333333333335,0.056666666666666664,0.23875,-0.255,-0.26104166666666667,-0.2472916666666667,0.4539583333333333,0.3641666666666667,0.49770833333333336
15,1993,-0.13020833333333334,-0.28020833333333334,-0.07166666666666667,-0.675625,-0.619375,-0.7404166666666666,-0.20854166666666665,-0.5289583333333333,-0.05833333333333333
16,1994,-0.11,-0.12208333333333334,-0.10333333333333333,-0.38729166666666665,-0.32749999999999996,-0.4566666666666667,0.15791666666666668,0.278125,0.09999999999999999
17,1995,-0.09479166666666666,-0.17020833333333332,-0.06479166666666666,-0.4402083333333333,-0.4114583333333333,-0.4727083333333333,-0.15125000000000002,-0.2891666666666666,-0.08666666666666666
18,1996,-0.163125,-0.22729166666666667,-0.13958333333333334,-0.27375,-0.24458333333333335,-0.30916666666666665,-0.06875000000000002,-0.1725,-0.020416666666666666
19,1997,-0.10125,-0.14833333333333334,-0.08333333333333333,-0.8068749999999999,-0.6366666666666667,-1.0014583333333333,0.03208333333333333,-0.04395833333333333,0.06958333333333332
20,1998,0.23229166666666667,0.2597916666666667,0.22020833333333334,0.43416666666666665,0.4072916666666666,0.46604166666666663,-0.656875,-0.8316666666666667,-0.5745833333333333
21,1999,-0.150625,-0.10708333333333332,-0.1675,0.06416666666666666,0.010625,0.125625,-0.73875,-1.0358333333333334,-0.5972916666666667
22,2000,-0.19229166666666667,-0.16020833333333334,-0.20458333333333334,-0.37666666666666665,-0.31375,-0.45062500000000005,0.07458333333333333,0.23479166666666665,-0.0010416666666666398
23,2001,-0.01895833333333333,-0.011041666666666665,-0.022083333333333333,0.29833333333333334,0.27416666666666667,0.32708333333333334,-0.5152083333333334,-0.63,-0.4614583333333333
24,2002,0.09958333333333334,0.100625,0.09958333333333334,0.1679166666666667,0.12041666666666669,0.22208333333333333,1.61125,2.0970833333333334,1.380625
25,2003,0.04520833333333333,0.08145833333333334,0.029583333333333333,0.45208333333333334,0.4354166666666666,0.4716666666666667,-0.0035416666666666687,-0.065,0.025000000000000005
26,2004,-0.030625,-0.03833333333333334,-0.02625,0.20520833333333333,0.13270833333333334,0.288125,0.29354166666666665,0.323125,0.27979166666666666
27,2005,0.00020833333333333237,0.013958333333333335,-0.006875000000000002,-0.037708333333333344,0.061666666666666654,-0.15312499999999998,0.300625,0.42625,0.24125
28,2006,-0.07375,-0.036875,-0.08791666666666666,0.27541666666666664,0.17875,0.386875,-0.6970833333333334,-0.8635416666666668,-0.618125
29,2007,-0.04958333333333333,-0.006249999999999998,-0.065625,-0.08875,-0.043750000000000004,-0.14083333333333334,0.028958333333333322,0.09000000000000001,0.0010416666666666664
30,2008,-0.2502083333333333,-0.19604166666666667,-0.27208333333333334,-0.13291666666666666,-0.12708333333333335,-0.13833333333333334,-0.561875,-0.7391666666666666,-0.47833333333333333
31,2009,-0.06375,-0.026458333333333334,-0.079375,0.33958333333333335,0.17499999999999996,0.5281250000000001,-0.014791666666666675,0.18541666666666665,-0.10979166666666668
32,2010,0.154375,0.181875,0.14458333333333334,0.5279166666666667,0.505625,0.55125,-0.5302083333333333,-0.8847916666666666,-0.3620833333333333
