순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,서울의 봄,2023-11-22,"115,350,635,410",9.1%,"11,854,785","2,463","292,300",한국,한국,플러스엠 엔터테인먼트
2,범죄도시3,2023-05-31,"104,687,737,771",8.3%,"10,682,813","2,582","311,915",한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트"
3,엘리멘탈,2023-06-14,"71,120,500,040",5.6%,"7,238,453","1,664","247,169",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
4,스즈메의 문단속,2023-03-08,"57,106,531,498",4.5%,"5,574,358","1,572","244,575",일본,일본,(주)쇼박스
5,밀수,2023-07-26,"49,685,009,003",3.9%,"5,143,219","1,932","167,669",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
6,더 퍼스트 슬램덩크,2023-01-04,"50,057,140,100",4.0%,"4,786,406","1,060","231,062",일본,일본,(주)넥스트엔터테인먼트월드(NEW)
7,가디언즈 오브 갤럭시: Volume 3,2023-05-03,"44,357,156,661",3.5%,"4,209,118","1,819","153,711",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
8,미션 임파서블: 데드 레코닝 PART ONE,2023-07-12,"40,428,788,113",3.2%,"4,022,072","2,437","137,933",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
9,콘크리트 유토피아,2023-08-09,"37,412,802,232",3.0%,"3,849,242","1,731","150,918",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
10,아바타: 물의 길,2022-12-14,"47,350,863,697",3.8%,"3,491,916","2,047","130,411",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
11,노량: 죽음의 바다,2023-12-20,"34,030,383,492",2.7%,"3,437,819","2,196","81,643",한국,한국,"롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스"
12,오펜하이머,2023-08-15,"34,375,467,901",2.7%,"3,232,774","1,636","131,798",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
13,슈퍼 마리오 브라더스,2023-04-26,"23,558,835,482",1.9%,"2,395,519","1,576","94,685",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
14,30일,2023-10-03,"21,256,881,514",1.7%,"2,165,358","1,226","130,509",한국,한국,(주)마인드마크
15,그대들은 어떻게 살 것인가,2023-10-25,"19,540,266,642",1.5%,"2,009,398","1,733","119,191",일본,일본,메가박스중앙(주)
16,존 윅 4,2023-04-12,"19,956,652,129",1.6%,"1,924,768","1,535","89,561",미국,미국,(주)레드아이스 엔터테인먼트
17,천박사 퇴마 연구소: 설경의 비밀,2023-09-27,"18,635,492,555",1.5%,"1,916,429","1,511","98,823",한국,한국,(주)씨제이이엔엠
18,영웅,2022-12-21,"17,768,606,427",1.4%,"1,787,536","1,099","88,177",한국,한국,(주)씨제이이엔엠
19,분노의 질주: 라이드 오어 다이,2023-05-17,"18,474,198,210",1.5%,"1,773,424","1,731","93,148",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
20,교섭,2023-01-18,"17,460,908,740",1.4%,"1,721,100","1,289","92,618",한국,한국,플러스엠 엔터테인먼트
21,앤트맨과 와스프: 퀀텀매니아,2023-02-15,"16,346,738,806",1.3%,"1,551,129","2,090","104,768",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
