순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,남산의 부장들,2020-01-22,"41,225,216,650",8.1%,"4,750,345","1,659","140,051",한국,한국,(주)쇼박스
2,다만 악에서 구하소서,2020-08-05,"38,602,260,990",7.6%,"4,357,803","1,998","193,842",한국,한국,(주)씨제이이엔엠
3,반도,2020-07-15,"33,072,531,280",6.5%,"3,812,250","2,575","199,048",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
4,히트맨,2020-01-22,"20,614,278,000",4.0%,"2,406,232","1,122","87,782",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
5,테넷,2020-08-26,"18,396,929,850",3.6%,"1,992,214","2,228","164,758",미국,미국,워너브러더스 코리아(주)
6,백두산,2019-12-19,"16,921,016,530",3.3%,"1,962,407","1,241","74,413",한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오"
7,#살아있다,2020-06-24,"15,968,219,900",3.1%,"1,903,992","1,882","137,073",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
8,강철비2: 정상회담,2020-07-29,"14,661,646,110",2.9%,"1,791,533","2,137","106,658",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
9,담보,2020-09-29,"14,748,867,550",2.9%,"1,719,521","1,342","110,260",한국,한국,(주)씨제이이엔엠
10,닥터 두리틀,2020-01-08,"13,449,206,760",2.6%,"1,607,082","1,290","68,634",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
11,삼진그룹 영어토익반,2020-10-21,"13,981,414,470",2.7%,"1,571,286","1,615","139,275",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
12,정직한 후보,2020-02-12,"12,854,297,030",2.5%,"1,538,038","1,187","89,425",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
13,도굴,2020-11-04,"13,764,680,410",2.7%,"1,523,514","1,635","133,284",한국,한국,(주)씨제이이엔엠
14,클로젯,2020-02-05,"10,971,962,280",2.1%,"1,270,835","1,197","71,453",한국,한국,(주)씨제이이엔엠
15,오케이 마담,2020-08-12,"10,981,600,110",2.2%,"1,228,968","1,288","82,969",한국,한국,플러스엠 엔터테인먼트
