해당연월,일본,중국,홍콩,대만,싱가폴,말레이시아,인도네시아,베트남,태국,아시아 기타,미국,서구 기타,데이터기준일자
2016-01,1646,142133,646,1927,1485,1886,1754,770,4667,2152,779,5398,2016-12-31
2016-02,1942,190761,1115,2142,1414,3467,1494,3069,4831,1744,1389,5200,2016-12-31
2016-03,3471,199952,2257,1874,1876,4793,3050,2739,5119,2590,2415,8475,2016-12-31
2016-04,5479,244440,4241,2874,5554,7854,5735,3457,5445,4388,3780,8996,2016-12-31
2016-05,7885,301570,3961,2711,2616,3475,2416,1641,5850,3807,2076,8778,2016-12-31
2016-06,3854,330235,3688,3815,3524,3727,3866,1890,1669,7759,2716,11099,2016-12-31
2016-07,4131,356436,3988,4440,3741,3893,2501,2589,768,4004,3136,9457,2016-12-31
2016-08,4539,393479,5307,4765,1413,1394,1627,1411,1538,3793,4086,11504,2016-12-31
2016-09,4032,276431,4278,4778,3563,2947,2432,1888,2828,3110,4750,11986,2016-12-31
2016-10,5751,272842,7955,4750,5894,6978,2766,2184,6073,3523,4922,12592,2016-12-31
2016-11,3291,184371,3885,2253,6670,9489,3126,1673,4266,5256,1883,8383,2016-12-31
2016-12,2006,168872,3436,1717,12816,16304,2940,1697,1451,4834,2010,7969,2016-12-31
