해당연월,일본,중국,홍콩,대만,싱가폴,말레이시아,인도네시아,베트남,아시아 기타,미국,서구 기타,데이터기준일자
2013-01,6941,51606,681,2106,1857,1829,1042,422,1717,433,1845,2013-12-31
2013-02,5702,77252,2502,2700,2624,5271,895,1551,2677,465,2221,2013-12-31
2013-03,11568,73007,3589,2898,3932,6049,2006,1163,3442,979,2575,2013-12-31
2013-04,11720,141793,4688,2798,6470,12885,2822,2469,5633,2405,6271,2013-12-31
2013-05,22520,115104,3062,5089,4646,7371,1605,1023,4867,2501,6560,2013-12-31
2013-06,10271,183838,5077,5958,6589,3539,1935,1678,5864,3639,7179,2013-12-31
2013-07,9847,307406,4304,3387,2111,1247,893,2186,6457,2509,8421,2013-12-31
2013-08,11292,350458,3188,4056,2123,2335,3736,1910,7212,1865,6328,2013-12-31
2013-09,12111,222443,3824,2964,3599,4549,546,11097,4843,1761,7013,2013-12-31
2013-10,13559,141087,4477,3480,7037,7858,1232,2197,7847,4002,6822,2013-12-31
2013-11,7608,81010,2723,2097,5019,9138,1691,1567,4670,542,2676,2013-12-31
2013-12,5740,67168,1646,1357,10615,12885,4302,899,5400,338,1722,2013-12-31
