해당연월,일본,중국,홍콩,대만,싱가폴,말레이시아,인도네시아,베트남,태국,아시아 기타,미국,서구 기타,데이터기준일자
2015-01,3749,117179,554,1061,1211,1383,1799,593,5683,767,315,1382,2015-12-31
2015-02,3855,198196,906,1231,921,1380,908,952,5063,553,400,1651,2015-12-31
2015-03,5651,172100,3186,831,2231,4626,2842,4437,5834,2595,857,3319,2015-12-31
2015-04,7663,261695,3686,3609,4032,6300,3392,7846,5489,6214,2907,7878,2015-12-31
2015-05,14641,256818,2188,1804,2507,2890,2483,2602,5720,2698,2497,7602,2015-12-31
2015-06,3760,155953,1419,1096,1332,1722,1515,1412,2629,2339,1736,6100,2015-12-31
2015-07,1650,65977,329,169,428,419,1752,651,32,2236,1235,7810,2015-12-31
2015-08,7037,191959,925,348,598,674,504,832,16,2475,1252,7153,2015-12-31
2015-09,4685,233383,4530,1784,1533,1856,880,1007,43,2592,1866,7314,2015-12-31
2015-10,3109,268591,2154,2088,3144,4490,1324,2724,4594,2940,1807,9748,2015-12-31
2015-11,1662,174677,1598,2022,3610,5056,1224,2854,4789,3262,1057,8694,2015-12-31
2015-12,1771,140835,1257,1796,8073,9096,4084,896,5319,2074,969,6563,2015-12-31
