해당연월,일본,중국,홍콩,대만,싱가폴,말레이시아,인도네시아,베트남,태국,아시아 기타,미국,서구 기타,데이터기준일자
2018-01,3229,30131,1298,1912,1295,4556,1771,1100,4187,3325,848,3770,2018-12-31
2018-02,3045,32782,1468,2485,594,3751,1118,722,4017,2545,870,3659,2018-12-31
2018-03,5311,42243,2721,3279,1269,4782,1774,1806,5336,3507,2067,6520,2018-12-31
2018-04,5984,44257,4146,2971,1401,6023,2439,3683,5140,3119,2056,5463,2018-12-31
2018-05,7576,50010,3843,3567,2322,5601,1564,2123,5383,2631,1582,4869,2018-12-31
2018-06,8664,57754,7080,5290,5881,8081,2470,3061,4445,3000,2620,7370,2018-12-31
2018-07,9145,65723,4910,4374,3694,5839,1869,3405,1675,3266,3049,7210,2018-12-31
2018-08,11084,78485,6192,6354,1828,3971,1815,3633,1760,4297,3046,9307,2018-12-31
2018-09,7660,70124,4985,4296,2183,6354,1643,2305,4802,3970,4151,10525,2018-12-31
2018-10,10075,72022,4916,5589,3094,6413,2081,2952,5840,4810,4624,13059,2018-12-31
2018-11,9218,58883,4468,5628,2440,6028,2608,2820,5966,4907,3546,11052,2018-12-31
2018-12,5643,63706,3058,5596,2571,6954,2389,2623,6164,4344,2811,8453,2018-12-31
