,Open,High,Low,Close,Volume,week,Close_change
0,23153.939453125,23518.640625,22638.41015625,23433.16015625,1430660000,2018-12-30,
1,23474.259765625,24084.7109375,23301.58984375,23995.94921875,1576990000,2019-01-06,562.7890625
2,23880.529296875,24750.220703125,23765.240234375,24706.349609375,1533520000,2019-01-13,710.400390625
3,24607.759765625,24860.150390625,24244.310546875,24737.19921875,1354140000,2019-01-20,30.849609375
4,24596.98046875,25193.150390625,24323.939453125,25063.890625,1954810000,2019-01-27,326.69140625
5,25062.119140625,25439.0390625,24883.0390625,25106.330078125,1400450000,2019-02-03,42.439453125
6,25142.810546875,25883.720703125,25009.099609375,25883.25,1424680000,2019-02-10,776.919921875
7,25849.849609375,26052.900390625,25762.2109375,26031.810546875,1103970000,2019-02-17,148.560546875
8,26126.150390625,26241.419921875,25877.240234375,26026.3203125,1423240000,2019-02-24,-5.490234375
9,26122.189453125,26155.98046875,25252.4609375,25450.240234375,1363660000,2019-03-03,-576.080078125
10,25208.0,25927.91015625,25208.0,25848.869140625,1878630000,2019-03-10,398.62890625
11,25801.880859375,26109.6796875,25501.44921875,25502.3203125,1689160000,2019-03-17,-346.548828125
12,25490.720703125,25949.3203125,25372.259765625,25928.6796875,1416360000,2019-03-24,426.359375
13,26075.099609375,26487.5703125,26071.689453125,26424.990234375,1281080000,2019-03-31,496.310546875
14,26312.669921875,26436.6796875,26062.58984375,26412.30078125,1258510000,2019-04-07,-12.689453125
15,26407.759765625,26602.419921875,26316.419921875,26559.5390625,1253590000,2019-04-14,147.23828125
16,26510.76953125,26695.9609375,26310.279296875,26543.330078125,1441650000,2019-04-21,-16.208984375
17,26559.869140625,26689.390625,26180.359375,26504.94921875,1460130000,2019-04-28,-38.380859375
18,26160.619140625,26476.26953125,25469.859375,25942.369140625,1523740000,2019-05-05,-562.580078125
19,25568.060546875,25957.630859375,25222.509765625,25764.0,1528250000,2019-05-12,-178.369140625
20,25655.310546875,25898.26953125,25328.08984375,25585.689453125,1300500000,2019-05-19,-178.310546875
21,25616.55078125,25717.630859375,24809.509765625,24815.0390625,1165380000,2019-05-26,-770.650390625
22,24830.16015625,26072.75,24680.5703125,25983.939453125,1383670000,2019-06-02,1168.900390625
23,26090.220703125,26248.669921875,25958.66015625,26089.609375,1147880000,2019-06-09,105.669921875
24,26108.529296875,26907.369140625,26049.80078125,26719.130859375,1477670000,2019-06-16,629.521484375
