,Open,High,Low,Close,Volume,week,Close_change
0,6649.52001953125,6760.68994140625,6457.1298828125,6738.85986328125,9598820000,2018-12-30,
1,6757.52978515625,6991.3701171875,6741.39990234375,6971.47998046875,11629710000,2019-01-06,232.6201171875
2,6908.02978515625,7185.3798828125,6887.47998046875,7157.22998046875,10799800000,2019-01-13,185.75
3,7109.56982421875,7174.56005859375,6953.22998046875,7164.85986328125,9551410000,2019-01-20,7.6298828125
4,7075.009765625,7303.1201171875,7011.47021484375,7263.8701171875,12470860000,2019-01-27,99.01025390625
5,7266.27978515625,7410.77001953125,7225.14013671875,7298.2001953125,10983610000,2019-02-03,34.330078125
6,7327.3701171875,7477.27978515625,7290.02978515625,7472.41015625,10533600000,2019-02-10,174.2099609375
7,7450.75,7527.5400390625,7430.89013671875,7527.5400390625,8900050000,2019-02-17,55.1298828125
8,7585.2998046875,7603.0400390625,7485.39013671875,7595.35009765625,12303670000,2019-02-24,67.81005859375
9,7636.6201171875,7643.66015625,7332.919921875,7408.14013671875,11728950000,2019-03-03,-187.2099609375
10,7442.56005859375,7714.9599609375,7442.39990234375,7688.52978515625,12450100000,2019-03-10,280.3896484375
11,7696.3798828125,7850.10986328125,7642.56982421875,7642.669921875,12231840000,2019-03-17,-45.85986328125
12,7618.97998046875,7738.169921875,7579.2900390625,7729.31982421875,10720850000,2019-03-24,86.64990234375
13,7800.240234375,7940.4501953125,7777.08984375,7938.68994140625,11172620000,2019-03-31,209.3701171875
14,7924.89013671875,7992.08984375,7891.85009765625,7984.16015625,10105020000,2019-04-07,45.47021484375
15,7987.16015625,8052.39990234375,7933.56982421875,7998.06005859375,8372410000,2019-04-14,13.89990234375
16,7969.3701171875,8151.83984375,7965.89990234375,8146.39990234375,9989640000,2019-04-21,148.33984375
17,8147.64990234375,8176.080078125,7976.77001953125,8164.0,10479860000,2019-04-28,17.60009765625
18,7981.85009765625,8135.5400390625,7759.33984375,7916.93994140625,11562900000,2019-05-05,-247.06005859375
19,7720.06982421875,7946.22998046875,7627.22021484375,7816.27978515625,10947140000,2019-05-12,-100.66015625
