,date,NASDAQ,S&P 500,ETF,Dow Jones,Gold Price,Oil Price,BitCoin
119,2021-04-18,65,26,52,20,41,6,72
120,2021-04-25,66,26,48,17,36,6,48
121,2021-05-02,75,27,59,19,43,7,49
122,2021-05-09,86,30,53,24,47,8,61
123,2021-05-16,66,24,39,19,51,6,100
124,2021-05-23,61,24,41,19,42,6,75
125,2021-05-30,50,21,41,15,41,6,46
126,2021-06-06,57,22,39,16,37,6,51
127,2021-06-13,62,25,39,18,42,7,40
128,2021-06-20,64,26,38,18,41,7,48
129,2021-06-27,65,26,41,17,38,7,37
130,2021-07-04,49,22,35,15,31,7,29
131,2021-07-11,52,24,36,17,34,6,27
132,2021-07-18,60,27,36,21,36,7,32
133,2021-07-25,60,25,35,16,32,6,37
134,2021-08-01,51,24,32,17,32,6,30
135,2021-08-08,52,22,33,16,44,6,36
136,2021-08-15,51,24,34,18,35,6,29
137,2021-08-22,54,25,33,17,32,6,29
138,2021-08-29,51,23,34,15,30,6,27
139,2021-09-05,41,19,31,13,30,5,34
140,2021-09-12,50,24,38,16,36,6,27
141,2021-09-19,56,29,33,21,35,6,33
142,2021-09-26,57,26,34,20,36,7,25
143,2021-10-03,52,26,36,18,31,7,31
144,2021-10-10,47,23,42,16,36,8,38
145,2021-10-17,54,24,73,16,33,8,46
146,2021-10-24,51,25,46,16,34,8,43
147,2021-10-31,53,24,46,16,35,7,34
148,2021-11-07,55,25,47,17,42,7,39
149,2021-11-14,47,23,42,15,37,7,39
150,2021-11-21,41,21,37,14,36,8,35
151,2021-11-28,54,32,40,23,37,9,38
152,2021-12-05,60,28,38,19,34,7,41
153,2021-12-12,54,24,38,19,34,6,31
154,2021-12-19,46,25,34,19,35,6,30
155,2021-12-26,44,28,40,19,32,6,30
156,2022-01-02,58,31,58,15,36,7,37
157,2022-01-09,51,25,46,13,30,6,33
158,2022-01-16,69,32,51,16,35,8,43
159,2022-01-23,99,51,56,23,42,8,53
160,2022-01-30,66,34,46,19,33,8,35
161,2022-02-06,58,32,44,17,37,10,35
162,2022-02-13,65,31,42,18,42,12,31
163,2022-02-20,73,39,44,24,66,23,37
164,2022-02-27,60,33,53,21,60,28,32
165,2022-03-06,58,34,54,21,83,55,29
166,2022-03-13,64,31,46,20,54,35,26
167,2022-03-20,50,29,45,18,49,20,25
168,2022-03-27,50,27,41,15,40,18,27
169,2022-04-03,50,27,41,16,39,13,26
170,2022-04-10,45,24,36,14,41,11,25
171,2022-04-17,51,28,43,15,40,11,22
172,2022-04-24,64,34,39,19,40,11,22
173,2022-05-01,75,36,40,22,42,12,24
174,2022-05-08,94,47,38,25,44,13,54
175,2022-05-15,69,48,37,27,38,16,38
176,2022-05-22,65,37,33,23,36,13,30
177,2022-05-29,47,28,28,18,33,16,25
178,2022-06-05,54,32,30,22,35,19,24
179,2022-06-12,79,58,40,31,49,21,74
180,2022-06-19,58,39,31,24,41,18,50
181,2022-06-26,55,37,31,24,41,13,37
182,2022-07-03,44,28,29,19,46,16,32
183,2022-07-10,50,33,32,22,46,15,29
184,2022-07-17,55,33,32,23,43,13,32
185,2022-07-24,57,31,30,22,41,10,25
186,2022-07-31,54,31,29,21,39,12,22
187,2022-08-07,58,33,33,21,37,11,21
188,2022-08-14,54,34,31,21,36,11,19
189,2022-08-21,53,31,27,20,37,10,21
190,2022-08-28,48,30,28,19,35,10,20
191,2022-09-04,41,28,25,16,33,11,21
192,2022-09-11,56,36,29,23,37,10,20
